GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gist-maven-plugin Maven Plugin,org.vromero.gist.mojo,CorrelationStrategy,9,41,0,0,0,6,2,3,2,3
gist-maven-plugin Maven Plugin,org.vromero.gist.mojo,AbstractGistMojo,24,19,1,1,10,6,7,5,6,5
gist-maven-plugin Maven Plugin,org.vromero.gist.mojo,HelpMojo,875,0,106,0,148,0,69,0,16,0
gist-maven-plugin Maven Plugin,org.vromero.gist.mojo,DeployMojo,25,143,2,6,2,29,2,10,0,8
gist-maven-plugin Maven Plugin,org.vromero.gist.mojo,SnippetMojo,7,71,0,4,2,13,0,5,0,3
gist-maven-plugin Maven Plugin,org.vromero.gist.mojo,Gist,2,34,1,1,0,13,1,9,0,9
gist-maven-plugin Maven Plugin,org.vromero.gist.mojo,SnippetFile,0,24,0,0,0,10,0,7,0,7
gist-maven-plugin Maven Plugin,org.vromero.gist.uploader,GistUploader,16,133,2,6,2,32,2,8,0,6
gist-maven-plugin Maven Plugin,org.vromero.gist.uploader,GistContentComparator,0,76,0,10,0,19,0,7,0,2
gist-maven-plugin Maven Plugin,org.vromero.gist.snippet,SnippetExtractor,26,186,6,24,4,41,7,18,1,9
gist-maven-plugin Maven Plugin,org.vromero.gist.snippet,SnippetManager,0,78,0,0,0,16,0,4,0,4
gist-maven-plugin Maven Plugin,org.vromero.gist.uploader.correlationstrategy,NoneGistCorrelationStrategy,0,19,0,4,0,6,0,4,0,2
gist-maven-plugin Maven Plugin,org.vromero.gist.uploader.correlationstrategy,DescriptionGistCorrelationStrategy,5,66,1,11,1,16,1,8,0,3
